Kanji	Field	OldValue	NewValue
帰	sec_primitives		[spear]帚
落	sec_primitives		[seaweed]各
正	heisig_comment	Editor's note: Please compare also to 正 (kanji for 'correct') and mending ([mending])	Editor's note: Please compare also to 疋 (critters) and [mending] (mending)
数	sec_primitives		娄攵
買	heisig_comment		Editor's note: With enough <i>money</i> you can <b>buy</b> anything on <i>internet</i>
寝	sec_primitives		宀丬[french_maid]
飛	primitives	乙升丶	乙丶丶升乙丶丶
飛	sec_primitives		乙丶丶丨人乙丶丶
飛	heisig_comment		Editor's comment: Alternative set of primitives to keep the stroke order correct.
遠	sec_primitives		袁辶
半	primitives	半	小十
壊	sec_primitives		土[hacker]衣
壊	heisig_comment		Editor's note: Evil <i>hacker</i> appropriately wearing black <i>garments</i> while hacking away and causing <b>demolition</b> and destruction. In internet there are no borders - no <i>land</i> is safe!
満	sec_primitives		[seaweed]両
園	sec_primitives		囗袁
派	sec_primitives		水𠂢
派	heisig_comment	Editor's note: You can use the non-Heisig <i>bifurcate</i> primitive instead of <i>rags</i> and <i>drag</i>	
迎	sec_primitives		卬辶
髪	sec_primitives		髟友
論	sec_primitives		言侖
襲	sec_primitives		龍衣
博	primitives	十専丶尃	十専丶
博	sec_primitives		十尃
聴	sec_primitives		耳[hacker]心
聴	heisig_comment		Editor's note: <i>Hackers</i> often don't use their wetware ears for <b>listening</b>, but instead use passive reconnaisance techniques (<b>listening</b> to network traffic and social media feed) before engaging in more active tactics of catfishing (exploiting emotions and trying to win their victims <i>hearts</i>)
紹	heisig_comment		Editor's note: You'd need to pull few <i>strings</i> to get <b>introduced</b> to <i>Queen Elisabeth</i>
輪	sec_primitives		車侖
隣	sec_primitives		⻖粦
徳	sec_primitives		彳[hacker]心
徳	heisig_comment		Editor's note: Not all <i>hackers</i> are evil. There is long <i>line</i> of <b>benevolent</b> <i>hackers</i> with good <i>hearts</i> fighting for the blue team.
診	sec_primitives		言㐱
侵	sec_primitives		人[french_maid]
掃	sec_primitives		扌帚
延	primitives	正廴	丶止廴
脈	sec_primitives		肉𠂢
珍	sec_primitives		王㐱
薄	sec_primitives		[seaweed]尃
抑	sec_primitives		扌卬
懐	sec_primitives		心[hacker]衣
